"route","day","tonnes"
"601 Route 1A (NEW)","2019-05-22",4.6
"505 Route 5 (NEW)","2019-04-26",15.44
"501 Route 1 (NEW)","2019-06-04",15.08
"508 Route 8 (NEW)","2019-06-17",7.16
"504 Route 4 (NEW )","2019-06-19",21.26
"502 Route 2 (NEW)","2019-06-20",17.54
"504 Route 4 (NEW )","2019-07-05",21.8
"504 Route 4 (NEW )","2019-07-10",17.12
"503 Route 3 (NEW)","2019-07-23",20.9
"501 Route 1 (NEW)","2019-07-25",26.32
"501 Route 1 (NEW)","2019-08-21",23.04
"503 Route 3 (NEW)","2019-09-02",13.08
"509 Route 9 (NEW)","2019-09-07",1.92
"505 Route 5 (NEW)","2019-09-22",14.76
"604 Route 4A (NEW)","2019-08-26",7.92
"603 Route 3A (NEW)","2019-09-01",4.88
"609 Route 9A (NEW)","2019-07-12",0.38
"604 Route 4A (NEW)","2019-07-23",2.38
"608 Route 8A (NEW)","2019-08-05",0.88
"605 Route 5A (NEW)","2019-08-09",2.54
"604 Route 4A (NEW)","2019-08-24",1.56
"603 Route 3A (NEW)","2019-09-17",2.94
"189 Missed Bins","2019-07-26",0.06
"602 Route 2A (NEW)","2019-08-13",5.74
"604 Route 4A (NEW)","2019-09-14",3.78
"505 Route 5 (NEW)","2019-07-15",18.34
"502 Route 2 (NEW)","2019-07-16",34.98
"502 Route 2 (NEW)","2019-07-31",20.56
"504 Route 4 (NEW )","2019-08-01",20.88
"502 Route 2 (NEW)","2019-08-02",13.68
"502 Route 2 (NEW)","2019-10-18",16.14
"504 Route 4 (NEW )","2019-11-15",11.64
"509 Route 9 (NEW)","2019-11-30",1.38
"601 Route 1A (NEW)","2019-10-23",7.28
"608 Route 8A (NEW)","2019-11-23",1.56
"601 Route 1A (NEW)","2019-10-14",4.22
"605 Route 5A (NEW)","2019-11-02",1.18
"603 Route 3A (NEW)","2019-11-15",2.7
"605 Route 5A (NEW)","2019-11-25",1.62
"609 Route 9A (NEW)","2019-12-13",0.58
"604 Route 4A (NEW)","2019-10-07",4.72
"602 Route 2A (NEW)","2019-10-12",4.04
"609 Route 9A (NEW)","2019-11-09",0.82
"603 Route 3A (NEW)","2019-11-10",3.12
"504 Route 4 (NEW )","2019-09-26",8.96
"503 Route 3 (NEW)","2019-09-27",8.98
"508 Route 8 (NEW)","2019-10-12",1.88
"503 Route 3 (NEW)","2019-10-14",8.48
"503 Route 3 (NEW)","2019-10-21",15.54
"503 Route 3 (NEW)","2019-10-24",9.64
"502 Route 2 (NEW)","2019-10-26",10.92
"503 Route 3 (NEW)","2019-10-27",11.62
"503 Route 3 (NEW)","2019-11-10",6.52
"505 Route 5 (NEW)","2019-11-10",10.26
"502 Route 2 (NEW)","2019-12-23",12.38
"505 Route 5 (NEW)","2019-12-27",7.34
"503 Route 3 (NEW)","2019-12-29",20.38
"508 Route 8 (NEW)","2019-12-29",3.06
"503 Route 3 (NEW)","2020-01-21",5.98
"505 Route 5 (NEW)","2020-01-24",22.98
"509 Route 9 (NEW)","2020-01-24",3.06
"508 Route 8 (NEW)","2020-01-25",2.14
"505 Route 5 (NEW)","2020-02-06",13.1
"502 Route 2 (NEW)","2020-02-19",25.7
"509 Route 9 (NEW)","2020-03-09",2.26
"505 Route 5 (NEW)","2020-03-15",0.38
"503 Route 3 (NEW)","2020-03-17",20.62
"502 Route 2 (NEW)","2020-03-19",21.88
"603 Route 3A (NEW)","2020-01-13",7.88
