Local Authority	Waste type	Generated	Generated	Generated	Generated	Generated	Generated	Generated	Generated	Prepared for reuse	Prepared for reuse	Prepared for reuse	Prepared for reuse	Prepared for reuse	Prepared for reuse	Prepared for reuse	Prepared for reuse	Recycled	Recycled	Recycled	Recycled	Recycled	Recycled	Recycled	Recycled	Organics recycled	Organics recycled	Organics recycled	Organics recycled	Organics recycled	Organics recycled	Organics recycled	Organics recycled	Recovered by incineration	Recovered by incineration	Recovered by incineration	Recovered by incineration	Recovered by incineration	Recovered by incineration	Recovered by incineration	Recovered by incineration	Recovered by co-incineration	Recovered by co-incineration	Recovered by co-incineration	Recovered by co-incineration	Recovered by co-incineration	Recovered by co-incineration	Recovered by co-incineration	Recovered by co-incineration	Managed by other methods	Managed by other methods	Managed by other methods	Managed by other methods	Managed by other methods	Managed by other methods	Managed by other methods	Managed by other methods	Disposed by incineration	Disposed by incineration	Disposed by incineration	Disposed by incineration	Disposed by incineration	Disposed by incineration	Disposed by incineration	Disposed by incineration	Landfilled	Landfilled	Landfilled	Landfilled	Landfilled	Landfilled	Landfilled	Landfilled
Argyll and Bute	Paper and cardboard wastes	5184	4947	4650	4338	1569	1213	1435	1263.7	0	0							5184	4947	4650	4720.59	4836.03	4794.52	5307.52	5235	0	0							0	0							0	0							0	0						0	0	0							0	0						
Argyll and Bute	Plastic wastes	225	302	316	291.33	158	124	125	154	0	0							225	302	316	322.66	813.74	668.38	687.98	790.69	0	0							0	0							0	0							0	0							0	0							0	0						
Argyll and Bute	Rubber wastes	3	31	35	31	18	38	27	25	0	0							3	31	35	31	18	38	27	25	0	0							0	0							0	0							0	0							0	0							0	0						
Argyll and Bute	Soils	0	0							0	0							0	0							0	0							0	0							0	0							0	0							0	0							0	0						
Argyll and Bute	Textile wastes	190	182	214	197	216	222	400	346	0	0			216		21	277	190	182	214	197		222	379	69	0	0							0	0							0	0							0	0							0	0							0	0						
Argyll and Bute	Used oils	0	0					6.4	6	0	0							0	0					6.4	6	0	0							0	0							0	0							0	0							0	0							0	0						
Argyll and Bute	Vegetal wastes	1540	2084	4411	4730	3981	3470	3109	3827	0	0							0	0							1540	2084	4411	1929	2088	2224	1846	2143	0	0							0	0							0	0		2801	1893	1246	1263	1684	0	0							0	0						
Argyll and Bute	Wood wastes	626	1726	1608	2364.78	2587	2258	3678	2659	0	0							626	1726	1608	2364.78	2894.04	2433.55	3905.26	2710.68	0	0							0	0							0	0							0	0							0	0							0	0						
Argyll and Bute	Subtotal	46301	48509	49244	52359.01	51847	53689	50437	47972.14	0	0			395	46	96	840	11471	12560	12804	13120.47	14448.04	15918.23	16898.17	14521.52	2220	2731	4969	2535	2671	2224	2542	2788	0	0			259.38	373.4	362.88	447.37	0	0							6484.17	5557.91	6282.97	9511.34	8780.45	7812.77	6959.93	7277.67	0	0							26126	27660.08	25188.03	27192.2	25293.13	27314.6	23578.01	22097.58
City of Edinburgh	Animal and mixed food waste	597.17	3743.08	4960.83	5621.37	7915.2	9332.15	9448.17	9359.68	0	0							0	0						19.95	597.15	3743.08	4960.83	0	7915.2	9332.15	9448.17	9339.73	0	0							0	0							0	0		5621.37					0	0							0	0						
City of Edinburgh	Batteries and accumulators wastes	14.61	14.88	10.66	16.23	9.66	5.11	2.65	5.9	0	0							14.61	14.88	10.66	16.23	9.66	5.11	2.65	5.9	0	0							0	0							0	0							0	0							0	0							0	0						
